a1	【A1】adj.第一等的;最佳的;头等的
backbiter	【backbiter】n.背後诽谤者
backbiting	【backbiting】n.诽谤;中伤
backbitten	【backbitten】v.背後诽谤;背後中伤
backboard	【backboard】n.後板;背板;靠背板
backbone	【backbone】n.脊骨;骨干;志气
backboned	【backboned】adj.有脊骨的;有脊椎的;有骨气的
backbreaking	【backbreaking】adj.非常辛劳的
backchat	【backchat】n.回嘴;顶嘴;诙谐的交谈
back/chat	【back&nbspchat】n.[俗]回嘴
backdate	【backdate】v.将日期追溯到过去某时
backdoor	【backdoor】n.後门;adj.秘密的
backdown	【backdown】n.[俗]退却
backdrop	【backdrop】n.[美]背景;背景幕
backening	【backening】n.致黑
backer	【backer】n.援助者;支持者
backfall	【backfall】n.将对方压制倒地背着垫子以取胜的手法
backfill	【backfill】v.装填
backfire	【backfire】n.逆火;放火;逆弧;v.放逆火;预先放火
backgammon	【backgammon】n.西洋双陆棋戏
backgear	【backgear】n.後列齿轮
background	【background】n.背景
backhand	【backhand】n.反手拍;反手抽击;左斜体
backhanded	【backhanded】adj.反手拍击的
backing	【backing】n.衬背;後援;支持者
backkward	【backkward】adv.向後地
backlash	【backlash】n.反斜线;反撞;逆栅流
back/lining	【back&nbsplining】n.[建]榇板
backlist	【backlist】n.库存书籍目录
backlog	【backlog】n.备用木材;积蓄;预备
backmost	【backmost】adj.最後面的
backpa	【backpa】n.背板
backpack	【backpack】n.挑运;v.挑运
backpage	【backpage】n.书的左页
backpedal	【backpedal】v.倒踏脚踏板;後退
backplane	【backplane】n.基架
backplate	【backplate】n.反向屏;背板
backpressure	【backpressure】n.反压;背压
backscatter	【backscatter】n.反散射
backscratcher	【backscratcher】n.长柄扒
backset	【backset】n.後退;倒退;逆流;涡流
backside	【backside】n.屁股;後方
backsight	【backsight】n.後视;表尺
backslash	【backslash】n.反斜线{
backslid	【backslid】v.堕落;退步;背离宗教
backslidden	【backslidden】v.堕落;退步;背离宗教
backslide	【backslide】vi.堕落;退步;背离宗教
backspace	【backspace】v.退後一格
backstage	【backstage】n.後台;adv.在後台;向後台
backstairs	【backstairs】n.後面楼梯;厨房门;adj.诡密的
backstay	【backstay】n.後支所;後部之持物
backstitch	【backstitch】n.扣缝;v.倒缝
backstop	【backstop】n.挡球网;捕手;背向停止
backstroke	【backstroke】n.还击;反手拍击;仰泳
back/stroke	【back&nbspstroke】n.回击
backswing	【backswing】n.背向摆动
backsword	【backsword】n.大砍刀;单刃剑;木剑
backtalk	【backtalk】n.工作联络交谈
backtoback	【back-to-back】adj.紧接的;背靠着背的
backtrack	【backtrack】v.返回;退走;撤退
backtracking	【backtracking】n.回索
backup	【backup】n.後援;备份;v.把…做备份
backwall	【backwall】n.背墙
backward	【backward】adj.向後的;落後的;adv.在後;倒退
backwardation	【backwardation】n.交割延期费
backwardlooking	【backward-looking】adj.退缩的;回顾过去的;保守的
backwards	【backwards】adv.向後
backwash	【backwash】n.以橹反推的水;浪涛;逆流
backwasher	【backwasher】n.梳毛纺纱之间洗净工作
backwater	【backwater】n.死水;滞水;停滞
backwoods	【backwoods】n.pl.森林地带;未开垦地;边远地区的人
backwoodsman	【backwoodsman】n.住在边远地区的人
backyard	【backyard】n.後院;後庭
bacon	【bacon】n.咸肉;燻肉
baconian	【Baconian】n.培根哲学的信徒;信仰培根学说的人;adj.培根哲学的;归纳的
bacony	【bacony】adj.燻肉一样的;脂肪质的
bacteria	【bacteria】pl.=bacterium
bacterial	【bacterial】adj.细菌的
bactericidal	【bactericidal】adj.杀菌的
bactericide	【bactericide】n.杀菌剂
bacteriological	【bacteriological】adj.细菌学的;细菌学上的
bacteriologist	【bacteriologist】n.细菌学家
bacteriology	【bacteriology】n.细菌学
bacteriolysis	【bacteriolysis】n.细菌分解处理;溶菌
bacteriophage	【bacteriophage】n.噬菌体;抗菌素
bacterioscopy	【bacterioscopy】n.细菌检查
bacteriotherapy	【bacteriotherapy】n.细菌疗法
bacterium	【bacterium】n.细菌
bacteroid	【bacteroid】n.假细菌;adj.细菌状的
bad	【bad】adj.坏;恶;歹
baddish	【baddish】adj.较坏的
bade	【bade】p.=bid
badge	【badge】n.徽章;标记
badger	【badger】n.[动]獾;小贩;vt.惹;撩
badinage	【badinage】n.玩笑;v.揶揄;开…玩笑
badly	【badly】adv.严重地;恶劣地;极度地
badlywounded	【badly-wounded】adj.受伤严重的
badmannered	【bad-mannered】adj.没礼貌的
badminton	【badminton】n.羽毛球
badmouth	【bad-mouth】v.苛刻批评;诟病
badness	【badness】n.坏;恶;不良
bad/news/travels/fast	【bad&nbspnews&nbsptravels&nbspfast】n.坏消息传得快
badtempered	【bad-tempered】adj.脾气不好的
baedeker	【Baedeker】n.旅行指南;旅行指南
baff	【baff】n.高飞球的一击;v.以球杆打球下部使之高飞
baffle	【baffle】vt.挫折;空自挣扎;n.障板;助声器
baffleboard	【baffle-board】n.调节板;防音板;扩音器安装板
bafflewall	【baffle-wall】n.阻板;防音墙
baffling	【baffling】adj.阻碍…的;使困惑的;不可理解的
baffy	【baffy】n.四号木杆
bag	【bag】n.袋;囊;vt.捕获
bagasse	【bagasse】n.甘蔗渣
bagatelle	【bagatelle】n.琐事;小事;弹子球戏之一种
bagful	【bagful】n.满口袋
baggage	【baggage】n.[美](手提)行李
baggage/check	【baggage&nbspcheck】n.[美]行李票
bagger	【bagger】n.装袋工;…垒打
bagging	【bagging】n.装袋;制袋材料
baggy	【baggy】adj.袋状的;松垂的
baghdad	【Baghdad】n.巴格达
bagnio	【bagnio】n.意大利或土耳其的澡堂;牢狱;妓院
bagpipe	【bagpipe】n.风笛
bagpiper	【bagpiper】n.吹风笛的人;风笛手
bagsleeve	【bag-sleeve】n.宽袖
bagwig	【bagwig】n.袋装假发
bagworm	【bagworm】n.结草虫
bah	【bah】int.呸
bahadur	【bahadur】n.阁下
bahaism	【Bahaism】n.大同教
baht	【baht】n.泰国货币单位
bail	【bail】n.把手;杓;水斗;[法]保释(金);保释人;vt.保释;汲水
bailable	【bailable】adj.可保释的;可交保的
bailee	【bailee】n.守托者
bailie	【bailie】n.市参事会员
bailiff	【bailiff】n.法警
bailiwick	【bailiwick】n.bailie&nbsp或&nbspbailiff&nbsp之职;范围
bailment	【bailment】n.寄托;保释
bailor	【bailor】n.寄托人
bailsman	【bailsman】n.保释保证人
bainite	【bainite】n.变轫铁;变轫体
bairn	【bairn】n.小孩
bait	【bait】n.饵;诱惑;vt.饵诱
baize	【baize】n.粗呢;厚羊毛毡
bake	【bake】v.烘;焙;烤
bake/house	【bake&nbsphouse】n.面包厂
bakelite	【bakelite】n.人造树胶;胶木;贝克来胶木
baker	【baker】n.面包师
bakery	【bakery】n.面包店
baking	【baking】n.烘烤;烘乾
baking/powder	【baking&nbsppowder】n.醱粉
balaam	【balaam】n.[英俚]补白;不可靠的预言人
balalaika	【balalaika】n.俄式三弦琴
balame	【balame】n.平衡;平平;v.平衡
balance	【balance】n.天秤;平衡(力);[商]差额;余额;v.(用天平)秤;使平衡
balance/of/payments	【balance&nbspof&nbsppayments】n.贸易支付差额
balancer	【balancer】n.秤称的人;平衡器;走绳索者
balance/sheet	【balance&nbspsheet】n.资产负债表
balancing	【balancing】n.均衡
balas	【balas】n.红玉;红晶石
balata	【balata】n.橡皮树;橡胶
balboa	【balboa】n.巴拿马的银币
balbriggan	【balbriggan】n.棉织物的一种;棉质袜子
balconied	【balconied】adj.有阳台的
balcony	【balcony】n.阳台;露台;包厢
bald	【bald】adj.秃的
baldachin	【baldachin】n.织锦;天盖;庙盖
balderdash	【balderdash】n.胡言乱语;梦呓
bald/faced	【bald&nbspfaced】adj.脸上有白斑的;脸白的;无掩饰的
baldhead	【baldhead】n.秃子;鸽的一种
baldheaded	【bald-headed】adj.秃头的
baldicoot	【baldicoot】n.[鸟]骨顶鸟
baldly	【baldly】adv.率直地;露骨地;无隐饰地
baldness	【baldness】n.光秃;率直;枯燥
baldpate	【baldpate】n.秃子
baldric	【baldric】n.佩饰
bale	【bale】n.包;綑;货物;v.将…打包;綑包;包装
baleen	【baleen】n.鲸须
balefire	【balefire】n.大野火;烽火;焚化屍体的火
baleful	【baleful】adj.有害的;恶意的
bali	【Bali】n.巴里岛
balinese	【Balinese】n.巴里语;adj.巴里岛的;巴里语的
balk	【balk】n.v.阻碍;突然停止
balkan	【Balkan】adj.巴尔干半岛的
balkanization	【Balkanization】n.分割成小国;使割据
balkanize	【Balkanize】v.分割成小国;使割据
balky	【balky】adj.有停蹄不前之癖的
ball	【ball】n.球(体);舞会
ballad	【ballad】n.民谣;歌谣
ballade	【ballade】n.三节联韵诗;叙事曲
balladeer	【balladeer】n.民谣歌手
ballad/monger	【ballad&nbspmonger】n.民谣作者;沿街卖唱者;劣等诗人
balladry	【balladry】n.民谣
ballast	【ballast】n.压舱物;[铁路]石碴
ball/bearing	【ball&nbspbearing】n.滚珠轴承
ball/cartridge	【ball&nbspcartridge】n.实弹
ballerina	【ballerina】n.芭蕾舞女
ballet	【ballet】n.芭蕾舞
balletdancer	【ballet-dancer】n.跳芭蕾舞者
balletic	【balletic】adj.像芭蕾舞的
balletically	【balletically】adv.芭蕾舞一般地
ball/flower	【ball&nbspflower】n.[建]花球;球心花饰
ballistic	【ballistic】n.冲击的;adj.弹道(学)的
ballistics	【ballistics】n.[军]弹道学;发射学
ballonet	【ballonet】n.小气囊
balloon	【balloon】n.气球
balloon/fish	【balloon&nbspfish】n.河豚
ballot	【ballot】n.投票;抽签
ballotage	【ballotage】n.决选投票
ballot/box	【ballot&nbspbox】n.投票箱
ballottement	【ballottement】n.触诊子宫检胎法
ball/pen	【ball&nbsppen】n.原子笔
ballpoint/pen	【ball-point&nbsppen】=ball&nbsppen
ball/proof	【ball&nbspproof】adj.避弹的
ballproof	【ballproof】adj.防弹的;子弹打不穿的
ball/room	【ball&nbsproom】n.舞厅
ballroom	【ballroom】n.舞厅;跳舞场
bally	【bally】adj.可厌的;非常;极;adv.可厌地;非常地;极
ballyhoo	【ballyhoo】n.大肆宣传;大吹大擂;喧噪;v.大肆宣传;大吹大擂
balm	【balm】n.香油;vt.搽香油
balm/cricket	【balm&nbspcricket】n.蝉
balminess	【balminess】n.芳香;爽快
balmy	【balmy】adj.芬芳的
balneology	【balneology】n.浴疗学
baloney	【baloney】n.胡扯
balsa	【balsa】n.一种轻质木材;筏
balsam	【balsam】n.香油;产香油的树;香膏
balsamic	【balsamic】adj.香膏质的;如香油的;镇静的
balsamiferous	【balsamiferous】adj.生香油的
balsamine	【balsamine】n.凤仙花
baltic	【Baltic】adj.波罗的海的;波罗的海东岸诸国的
baltic/sea	【Baltic&nbspSea】n.波罗的海
baltimore	【Baltimore】n.巴尔的摩;美国马里兰州的一个城市
baluster	【baluster】n.[建]栏杆的柱;pl.栏杆
balustrade	【balustrade】n.栏杆
balzac	【Balzac】n.法国小说家
bam	【bam】n.欺骗;哄骗;v.欺骗;哄骗
bamboo	【bamboo】n.竹
bamboozle	【bamboozle】v.[俚]哄;骗
ban	【ban】n.vt.禁止;禁忌
banal	【banal】adj.平凡的;陈腐的
banality	【banality】n.平凡;陈腐
banana	【banana】n.[植]香蕉
band	【band】n.带;绳;箍;(乐)队;v.用带紮上;钉箍
bandage	【bandage】n.绷带;vt.紮绷带
bandanna	【bandanna】n.丝巾;丝质大手帕;头巾
bandbox	【bandbox】n.纸盒;帽盒子
bandeau	【bandeau】n.头带
bandeaux	【bandeaux】pl.=bandeau
bandicoot	【bandicoot】n.大鼠;袋鼠
bandit	【bandit】n.盗贼;匪徒;[英俗]敌机
banditry	【banditry】n.盗贼行为;贼党
banditti	【banditti】n.一夥土匪
bandmaster	【bandmaster】n.乐队长
bandog	【bandog】n.栓住的狗;猛犬
bandoleer	【bandoleer】n.[军]子弹带
bandolier	【bandolier】=bandoleer
bandoline	【bandoline】n.发油的一种
bandpass	【bandpass】n.通带
band/saw	【band&nbspsaw】n.带锯
bandsman	【bandsman】n.乐队队员
band/stand	【band&nbspstand】n.音乐台
bandstand	【bandstand】n.音乐台;演奏台
bandswitch	【bandswitch】n.波段开关
bandwagon	【bandwagon】n.乐队花车;占於优势的势力;引人注目&nbsp流行
bandwidth	【bandwidth】n.频带
bandy	【bandy】adj.膝向外曲的;vt.掷;打(球)
bandylegged	【bandy-legged】adj.膝向外曲的;弯脚的
bane	【bane】n.毒害;毒品
baneberry	【baneberry】n.一种有毒植物;此种植物的果实
baneful	【baneful】adj.有害的;使人苦恼的
bang	【bang】n.重打;轰然一声;adv.轰然;砰然;v.敲(钟);剪成刘海
banger	【banger】n.香肠;鞭炮;破旧货
bangkok	【Bangkok】n.曼谷
bangle	【bangle】n.环饰;手触
bangup	【bang-up】adj.上等的;最好的
banian	【banian】n.榕树
banish	【banish】vt.处流刑;驱逐
banishment	【banishment】n.放逐;充军
banister	【banister】n.栏杆的支柱;楼梯的扶栏
banjo	【banjo】n.班卓琴
banjoist	【banjoist】n.五弦琴演奏师
banjulele	【banjulele】n.弦乐器的一种
bank	【bank】n.堤;岸;银行;库;v.筑堤;存入银行
bankable	【bankable】adj.银行能接受的
bank/bill	【bank&nbspbill】n.[美]纸币
bank/book	【bank&nbspbook】n.银行存摺
bankbook	【bankbook】n.银行存摺
bank/credit	【bank&nbspcredit】n.银行担保(书)
bank/demand	【bank&nbspdemand】n.银行即期支付
banker	【banker】n.银行业者;[赌]庄家
bank/holiday	【bank&nbspholiday】n.银行休假日
banking	【banking】n.银行业;金融;堤防
banknote	【banknote】n.钞票
bankroll	【bankroll】n.v.资金
bankrupt	【bankrupt】n.破产者;adj.破产
bankruptcy	【bankruptcy】n.破产;倒闭
banksia	【banksia】n.山茂木坚
banner	【banner】n.旗;横额;adj.有旗手价值的
banner/bearer	【banner&nbspbearer】n.旗手
banner/line	【banner&nbspline】n.长条大字标题
bannerol	【bannerol】(=-e)n旒旆
bannock	【bannock】n.一种薄饼
banquet	【banquet】n.宴会;v.宴请
banquette	【banquette】n.踏垛(战壕内射击时站立的脚墩)
bant	【bant】v.做减胖治疗法
bantam	【bantam】n.矮脚鸡;[军]吉普车;轻量级拳师
bantamweight	【bantamweight】n.[拳]轻量级
banter	【banter】n.v.开玩笑
banteringly	【banteringly】adv.嘲弄地;半开玩笑地;戏虐地
bantling	【bantling】n.婴孩;小孩
bantu	【Bantu】n.班图人(语)
banyan	【banyan】n.Bengal&nbsp菩提树
banzai	【banzai】n.万岁!
baobab	【baobab】n.非洲产的一种巨树
baptism	【baptism】n.洗礼
baptismal	【baptismal】adj.洗礼的
baptism/of/blood	【baptism&nbspof&nbspblood】n.殉教
baptism/of/fire	【baptism&nbspof&nbspfire】n.炮火的洗礼
baptist	【Baptist】n.浸礼教徒
baptize	【baptize】v.施行洗礼;命名
bar	【bar】n.棒;障碍;酒吧;法院;vt.闩;妨止;pre.除外
bar/association	【bar&nbspassociation】n.律师协会
barb	【barb】n.倒刺;vt.装上倒钩
barback	【barback】n.军营
barbados	【Barbados】n.巴贝多
barbara	【Barbara】n.芭芭拉
barbarian	【barbarian】n.adj.野蛮人(的)
barbaric	【barbaric】adj.未开化的;野蛮人一样的
barbarism	【barbarism】n.野蛮
barbarity	【barbarity】n.野蛮的;[语]芜杂的
barbarization	【barbarization】n.野蛮化
barbarize	【barbarize】v.野蛮化;粗野
barbarous	【barbarous】adj.野蛮的;残忍的;下流的;异国语的;异国的
barbarously	【barbarously】adv.野蛮地;粗野地
